candidateId,parentId,lineageId,generated,admitted,evaluation,generation,cmax,tec,twc,subSwarm,mechanism,operator,enteredCandidateSet,pddrRetained,personalArchive,globalArchive,nextRoundSurvival,g1SocialTeacherParticleUses,g1SocialTeacherGenerations,g1PersonalTeacherParticleUses,g1PersonalTeacherGenerations,firstTeacherFE,lastTeacherFE,firstTeacherGeneration,lastTeacherGeneration,fingerprintSha256
1,INITIAL,-1,true,true,1,0,1108.856311897740,134208.209297714060,454227.285248405400,UNASSIGNED,INITIAL,INITIAL,true,false,false,true,NOT_SELECTED,20,1,0,0,100,100,1,1,f413e960da25bc585709bba2a0e699eee628bfc92c98f2742bf4dd71c267e828
2,INITIAL,-1,true,true,2,0,932.545467752286,131696.426593696120,423248.598535434340,UNASSIGNED,INITIAL,INITIAL,true,false,false,true,NOT_SELECTED,0,0,68,1,100,2500,1,1,64f776f05052eba48810a0ce29c210204caba5e1b2fb89bcbc03766439892d8f
3,INITIAL,-1,true,true,46,0,915.252207172073,132807.207846688080,417718.016217040250,UNASSIGNED,INITIAL,INITIAL,true,true,true,true,NO,0,0,7,2,100,6903,1,2,f820a25480e29fdecf6322c4800591af2b73d9de9c078228bc68ed8a7da1b5f3
4,GLOBAL_SLOT_G4_BALANCED,20,true,true,121,1,890.992497035364,132727.418266378630,423461.630103668660,G4_BALANCED,CFVF,CFVF,true,false,false,true,NOT_SELECTED,100,1,0,0,200,800,1,1,3a4a7eabddddda5afd1d35c664fab37009fae04aa7f97bc2971ccfd735428cdb
5,GLOBAL_SLOT_G1_CMAX,83,true,true,801,1,878.036576241224,128639.675786712300,394092.756148782730,G1_CMAX,CFVF,CFVF,true,false,false,true,NOT_SELECTED,140,1,0,0,1000,1800,1,1,8b0f7dbe42d77266b2ad47781d11f170d7d0093236c7fcb189383079388ceec4
6,GLOBAL_SLOT_G1_CMAX,35,true,true,1219,1,876.624583134075,127869.607812745630,394883.742004415700,G1_CMAX,CFVF,CFVF,true,false,false,true,NOT_SELECTED,0,0,0,0,,,,,a193bb6f08c32f217425544f94c5e98d30fd0cf7aad97f134d428aa31adfa903
7,GLOBAL_SLOT_G4_BALANCED,97,true,true,1524,1,866.940436977538,128741.679737263680,368388.644906515260,G4_BALANCED,CFVF,CFVF,true,false,false,true,NOT_SELECTED,180,1,0,0,2300,3200,1,1,a5e87dac3201eba13dfd721ba06bbb14980739788d0380b281bdacca78cc9ca7
8,GLOBAL_SLOT_G4_BALANCED,13,true,true,1930,1,856.248716264260,128481.790996809640,382096.858937424700,G4_BALANCED,CFVF,CFVF,true,false,false,true,NOT_SELECTED,0,0,0,0,,,,,01dd4a529f6388cfd9db7a2884bf8548da1f89ab21adf61de207a34078b1bb71
9,GLOBAL_SLOT_G1_CMAX,13,true,true,2003,1,839.411323191344,130259.822410613390,378986.480594321800,G1_CMAX,CFVF,CFVF,true,false,false,false,NOT_SELECTED,0,0,0,0,,,,,5ccbb907885c4b772494842bb0ce37cfda7bf048088ca33e7c504aa327a042ee
10,GLOBAL_SLOT_G1_CMAX,13,true,true,2008,1,829.554521816515,129093.492038798780,378200.322573317860,G1_CMAX,CFVF,CFVF,true,false,false,true,NOT_SELECTED,600,2,0,0,3400,8103,1,2,943601f21b545ed9a136520298ad67ee1b0b263f6b4ddae5bb89fb460c54cf97
