runKey,instance,scale,seed,arm,requestedMaxFE,population,status
V35A2A4-20_5_3_1-20260905-A4,20_5_3_1,20,20260905,A4_BUDGET_AWARE_CATA,500000,100,PRE_REGISTERED
V35A2A4-50_2_4_1-20260901-A2,50_2_4_1,50,20260901,A2_CFVF,500000,100,PRE_REGISTERED
V35A2A4-50_2_4_1-20260901-A4,50_2_4_1,50,20260901,A4_BUDGET_AWARE_CATA,500000,100,PRE_REGISTERED
V35A2A4-50_2_4_1-20260902-A2,50_2_4_1,50,20260902,A2_CFVF,500000,100,PRE_REGISTERED
V35A2A4-50_2_4_1-20260902-A4,50_2_4_1,50,20260902,A4_BUDGET_AWARE_CATA,500000,100,PRE_REGISTERED
V35A2A4-50_2_4_1-20260903-A2,50_2_4_1,50,20260903,A2_CFVF,500000,100,PRE_REGISTERED
V35A2A4-50_2_4_1-20260903-A4,50_2_4_1,50,20260903,A4_BUDGET_AWARE_CATA,500000,100,PRE_REGISTERED
V35A2A4-50_2_4_1-20260904-A2,50_2_4_1,50,20260904,A2_CFVF,500000,100,PRE_REGISTERED
V35A2A4-50_2_4_1-20260904-A4,50_2_4_1,50,20260904,A4_BUDGET_AWARE_CATA,500000,100,PRE_REGISTERED
V35A2A4-50_2_4_1-20260905-A2,50_2_4_1,50,20260905,A2_CFVF,500000,100,PRE_REGISTERED
V35A2A4-50_2_4_1-20260905-A4,50_2_4_1,50,20260905,A4_BUDGET_AWARE_CATA,500000,100,PRE_REGISTERED
V35A2A4-50_5_3_1-20260901-A2,50_5_3_1,50,20260901,A2_CFVF,500000,100,PRE_REGISTERED
V35A2A4-50_5_3_1-20260901-A4,50_5_3_1,50,20260901,A4_BUDGET_AWARE_CATA,500000,100,PRE_REGISTERED
V35A2A4-50_5_3_1-20260902-A2,50_5_3_1,50,20260902,A2_CFVF,500000,100,PRE_REGISTERED
V35A2A4-50_5_3_1-20260902-A4,50_5_3_1,50,20260902,A4_BUDGET_AWARE_CATA,500000,100,PRE_REGISTERED
V35A2A4-50_5_3_1-20260903-A2,50_5_3_1,50,20260903,A2_CFVF,500000,100,PRE_REGISTERED
V35A2A4-50_5_3_1-20260903-A4,50_5_3_1,50,20260903,A4_BUDGET_AWARE_CATA,500000,100,PRE_REGISTERED
V35A2A4-50_5_3_1-20260904-A2,50_5_3_1,50,20260904,A2_CFVF,500000,100,PRE_REGISTERED
V35A2A4-50_5_3_1-20260904-A4,50_5_3_1,50,20260904,A4_BUDGET_AWARE_CATA,500000,100,PRE_REGISTERED
V35A2A4-50_5_3_1-20260905-A2,50_5_3_1,50,20260905,A2_CFVF,500000,100,PRE_REGISTERED
V35A2A4-50_5_3_1-20260905-A4,50_5_3_1,50,20260905,A4_BUDGET_AWARE_CATA,500000,100,PRE_REGISTERED
V35A2A4-100_2_4_1-20260901-A2,100_2_4_1,100,20260901,A2_CFVF,500000,100,PRE_REGISTERED
V35A2A4-100_2_4_1-20260901-A4,100_2_4_1,100,20260901,A4_BUDGET_AWARE_CATA,500000,100,PRE_REGISTERED
V35A2A4-100_2_4_1-20260902-A2,100_2_4_1,100,20260902,A2_CFVF,500000,100,PRE_REGISTERED
V35A2A4-100_2_4_1-20260902-A4,100_2_4_1,100,20260902,A4_BUDGET_AWARE_CATA,500000,100,PRE_REGISTERED
V35A2A4-100_2_4_1-20260903-A2,100_2_4_1,100,20260903,A2_CFVF,500000,100,PRE_REGISTERED
V35A2A4-100_2_4_1-20260903-A4,100_2_4_1,100,20260903,A4_BUDGET_AWARE_CATA,500000,100,PRE_REGISTERED
V35A2A4-100_2_4_1-20260904-A2,100_2_4_1,100,20260904,A2_CFVF,500000,100,PRE_REGISTERED
V35A2A4-100_2_4_1-20260904-A4,100_2_4_1,100,20260904,A4_BUDGET_AWARE_CATA,500000,100,PRE_REGISTERED
V35A2A4-100_2_4_1-20260905-A2,100_2_4_1,100,20260905,A2_CFVF,500000,100,PRE_REGISTERED
V35A2A4-100_2_4_1-20260905-A4,100_2_4_1,100,20260905,A4_BUDGET_AWARE_CATA,500000,100,PRE_REGISTERED
V35A2A4-100_5_3_1-20260901-A2,100_5_3_1,100,20260901,A2_CFVF,500000,100,PRE_REGISTERED
V35A2A4-100_5_3_1-20260901-A4,100_5_3_1,100,20260901,A4_BUDGET_AWARE_CATA,500000,100,PRE_REGISTERED
V35A2A4-100_5_3_1-20260902-A2,100_5_3_1,100,20260902,A2_CFVF,500000,100,PRE_REGISTERED
V35A2A4-100_5_3_1-20260902-A4,100_5_3_1,100,20260902,A4_BUDGET_AWARE_CATA,500000,100,PRE_REGISTERED
V35A2A4-100_5_3_1-20260903-A2,100_5_3_1,100,20260903,A2_CFVF,500000,100,PRE_REGISTERED
V35A2A4-100_5_3_1-20260903-A4,100_5_3_1,100,20260903,A4_BUDGET_AWARE_CATA,500000,100,PRE_REGISTERED
V35A2A4-100_5_3_1-20260904-A2,100_5_3_1,100,20260904,A2_CFVF,500000,100,PRE_REGISTERED
V35A2A4-100_5_3_1-20260904-A4,100_5_3_1,100,20260904,A4_BUDGET_AWARE_CATA,500000,100,PRE_REGISTERED
V35A2A4-100_5_3_1-20260905-A2,100_5_3_1,100,20260905,A2_CFVF,500000,100,PRE_REGISTERED
V35A2A4-100_5_3_1-20260905-A4,100_5_3_1,100,20260905,A4_BUDGET_AWARE_CATA,500000,100,PRE_REGISTERED
