fe,bestCmaxGlobal,bestCmaxG1,currentBestCmaxG1,bestCmaxGenerated,bestCmaxGeneratedG1,bestCmaxSurvived,windowBestGenerated,windowBestSurvived,bestTECGlobal,bestTWCGlobal,bestTECGenerated,bestTWCGenerated
1000,238.189515973413,238.189515973413,239.533602629049,238.189515973413,239.533602629049,,238.189515973413,,10480.978907814220,14568.733129844313,10480.978907814220,14568.733129844313
2000,224.002315483740,224.002315483740,231.289861026185,224.002315483740,226.178774805523,,224.002315483740,,10298.567164742570,13631.922456710683,10112.464883833896,13631.922456710683
3000,219.618641610218,219.618641610218,233.305737451349,219.618641610218,225.870255271137,,219.618641610218,,10112.464883833896,13499.223106391495,10112.464883833896,13499.223106391495
4000,219.618641610218,219.618641610218,223.525689469542,219.618641610218,225.637007327411,,223.525689469542,,9747.451170165048,13474.988697570907,9520.869196824813,13474.988697570907
5000,215.500471887013,215.500471887013,235.265116983833,215.500471887013,220.516039180035,,215.500471887013,,9520.869196824813,13256.219236946883,9520.869196824813,13256.219236946883
6000,215.500471887013,215.500471887013,249.251758762867,215.500471887013,220.516039180035,,221.026891075856,,9520.869196824813,13256.219236946883,9520.869196824813,13256.219236946883
7000,215.500471887013,215.500471887013,249.251758762867,215.500471887013,217.644236257874,,217.644236257874,,9520.869196824813,13256.219236946883,9520.869196824813,13256.219236946883
8000,215.500471887013,215.500471887013,249.251758762867,215.500471887013,217.644236257874,,225.937294478143,,9520.869196824813,13256.219236946883,9520.869196824813,13256.219236946883
9000,215.500471887013,215.500471887013,249.251758762867,215.500471887013,217.644236257874,,218.676696573176,,9520.869196824813,13256.219236946883,9520.869196824813,13256.219236946883
10000,215.500471887013,215.500471887013,249.251758762867,215.500471887013,217.644236257874,,247.342592147707,,9520.869196824813,13256.219236946883,9065.218586922543,13256.219236946883
11000,215.500471887013,215.500471887013,249.251758762867,215.500471887013,217.644236257874,,223.730077526534,,9520.869196824813,13256.219236946883,9065.218586922543,13256.219236946883
12000,215.500471887013,215.500471887013,249.251758762867,215.500471887013,217.644236257874,,226.632475274892,,9520.869196824813,13256.219236946883,9048.565065407129,13256.219236946883
13000,215.500471887013,215.500471887013,249.251758762867,215.500471887013,217.644236257874,,251.297236213756,,9520.869196824813,13256.219236946883,9048.565065407129,13256.219236946883
14000,215.500471887013,215.500471887013,249.251758762867,215.500471887013,217.644236257874,,238.020215696979,,9520.869196824813,13256.219236946883,9048.565065407129,13256.219236946883
15000,215.500471887013,215.500471887013,249.251758762867,215.500471887013,217.644236257874,,239.992907879454,,9520.869196824813,13256.219236946883,9048.565065407129,13256.219236946883
16000,215.500471887013,215.500471887013,249.251758762867,215.500471887013,217.644236257874,,249.207394639841,,9520.869196824813,13256.219236946883,9048.565065407129,13256.219236946883
17000,215.500471887013,215.500471887013,249.251758762867,215.500471887013,217.644236257874,,277.473854281691,,9520.869196824813,13256.219236946883,9048.565065407129,13256.219236946883
18000,215.500471887013,215.500471887013,249.251758762867,215.500471887013,217.644236257874,,246.049792084834,,9520.869196824813,13256.219236946883,9048.565065407129,13256.219236946883
19000,215.500471887013,215.500471887013,249.251758762867,215.500471887013,217.644236257874,,245.174456072274,,9520.869196824813,13256.219236946883,9048.565065407129,13256.219236946883
20000,215.500471887013,215.500471887013,249.251758762867,215.500471887013,217.644236257874,,268.317773052705,,9520.869196824813,13256.219236946883,9048.565065407129,13256.219236946883
21000,215.500471887013,215.500471887013,249.251758762867,215.500471887013,217.644236257874,,241.198423824018,,9520.869196824813,13256.219236946883,9048.565065407129,13256.219236946883
22000,215.500471887013,215.500471887013,249.251758762867,215.500471887013,217.644236257874,,243.272324485383,,9520.869196824813,13256.219236946883,9048.565065407129,13256.219236946883
23000,215.500471887013,215.500471887013,249.251758762867,215.500471887013,217.644236257874,,261.976671137502,,9520.869196824813,13256.219236946883,9048.565065407129,13210.622747988638
24000,215.500471887013,215.500471887013,249.251758762867,215.500471887013,217.644236257874,,292.332843316464,,9520.869196824813,13256.219236946883,9048.565065407129,13210.622747988638
25000,215.500471887013,215.500471887013,249.251758762867,215.500471887013,217.644236257874,,321.617089658930,,9520.869196824813,13256.219236946883,9048.565065407129,13061.590238564393
26000,215.500471887013,215.500471887013,249.251758762867,215.500471887013,217.644236257874,,330.008535057720,,9520.869196824813,13256.219236946883,9048.565065407129,13054.315271830217
27000,215.500471887013,215.500471887013,249.251758762867,215.500471887013,217.644236257874,,380.805837394116,,9520.869196824813,13256.219236946883,9048.565065407129,13054.315271830217
28000,215.500471887013,215.500471887013,249.251758762867,215.500471887013,217.644236257874,,271.599491052243,,9520.869196824813,13256.219236946883,9048.565065407129,13054.315271830217
29000,209.053968571549,209.053968571549,246.756818223641,209.053968571549,209.053968571549,,209.053968571549,,9050.568461020088,13054.315271830217,9048.565065407129,13054.315271830217
30000,209.053968571549,209.053968571549,216.455527526060,209.053968571549,209.053968571549,,216.455527526060,,9050.568461020088,13054.315271830217,9048.565065407129,13054.315271830217
31000,209.053968571549,209.053968571549,241.108165001817,209.053968571549,209.053968571549,,221.711392297889,,9050.568461020088,13054.315271830217,9048.565065407129,13054.315271830217
32000,209.053968571549,209.053968571549,227.022302239608,209.053968571549,209.053968571549,,217.686807808797,,9050.568461020088,13054.315271830217,9048.565065407129,13054.315271830217
