job,stage,factory,machine,worker,start,setup,processing,end,dispatchOrdinal
9,0,0,1,1,0.000000000000,2.000000000000,7.500000000000,9.500000000000,0
3,0,0,0,1,9.500000000000,1.000000000000,9.000000000000,19.500000000000,1
6,0,0,0,0,19.500000000000,1.666666666667,10.833333333333,32.000000000000,2
1,0,0,2,1,19.500000000000,3.000000000000,12.307692307692,34.807692307692,3
8,0,0,1,0,32.000000000000,2.500000000000,11.111111111111,45.611111111111,4
9,1,0,0,0,9.500000000000,1.111111111111,8.333333333333,18.944444444444,5
3,1,0,0,1,19.500000000000,2.727272727273,10.606060606061,32.833333333333,6
6,1,0,1,0,32.000000000000,1.111111111111,18.181818181818,51.292929292929,7
1,1,0,0,1,34.807692307692,1.818181818182,8.333333333333,44.959207459207,8
8,1,0,0,1,45.611111111111,0.909090909091,7.575757575758,54.095959595960,9
5,0,1,1,1,0.000000000000,1.666666666667,6.060606060606,7.727272727273,10
4,0,1,1,0,7.727272727273,1.818181818182,8.264462809917,17.809917355372,11
7,0,1,0,0,17.809917355372,1.818181818182,12.727272727273,32.355371900826,12
2,0,1,0,1,32.355371900826,1.666666666667,10.000000000000,44.022038567493,13
0,0,1,1,1,44.022038567493,0.833333333333,7.575757575758,52.431129476584,14
5,1,1,0,0,7.727272727273,1.666666666667,12.500000000000,21.893939393939,15
4,1,1,1,1,17.809917355372,3.333333333333,14.814814814815,35.958065503520,16
7,1,1,0,0,32.355371900826,1.666666666667,10.000000000000,44.022038567493,17
2,1,1,0,0,44.022038567493,2.500000000000,10.000000000000,56.522038567493,18
0,1,1,1,1,52.431129476584,1.111111111111,7.407407407407,60.949647995103,19
