generatedByRunId,sourceJarSha256,configurationHash,instanceHash,seed,arm,telemetryMode,nominalCheckpointFE,actualSnapshotFE,overshootFE,generation,formalOuterCycle,qRound,frontType,unobservableReason,solutionFingerprint,Cmax,TEC,TWC
V35V3-A2-100_5_3_1-20260901-2k-ON,818174B068717EE585A057F6B32775493337E4F567A87C6F1008822DD68F0632,b7d56e7ce7c8fb03b1025a1d65cb21e6dbc9ccd14bb02981e9ec27f38311e5e0,2E88FA97A6F84AF347A4603F04C387A65C8F9891BCAB8AC6B70FDEC622EA35CF,20260901,A2,ON,2000,NOT_APPLICABLE,NOT_APPLICABLE,-1,-1,-1,workingPopulationND,CHECKPOINT_NOT_REACHED,CHECKPOINT_UNOBSERVABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE
V35V3-A2-100_5_3_1-20260901-2k-ON,818174B068717EE585A057F6B32775493337E4F567A87C6F1008822DD68F0632,b7d56e7ce7c8fb03b1025a1d65cb21e6dbc9ccd14bb02981e9ec27f38311e5e0,2E88FA97A6F84AF347A4603F04C387A65C8F9891BCAB8AC6B70FDEC622EA35CF,20260901,A2,ON,2000,NOT_APPLICABLE,NOT_APPLICABLE,-1,-1,-1,decisionArchiveFront,CHECKPOINT_NOT_REACHED,CHECKPOINT_UNOBSERVABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE
V35V3-A2-100_5_3_1-20260901-2k-ON,818174B068717EE585A057F6B32775493337E4F567A87C6F1008822DD68F0632,b7d56e7ce7c8fb03b1025a1d65cb21e6dbc9ccd14bb02981e9ec27f38311e5e0,2E88FA97A6F84AF347A4603F04C387A65C8F9891BCAB8AC6B70FDEC622EA35CF,20260901,A2,ON,2000,NOT_APPLICABLE,NOT_APPLICABLE,-1,-1,-1,observedFullFront,CHECKPOINT_NOT_REACHED,CHECKPOINT_UNOBSERVABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE
