candidateFingerprint,Cmax,TEC,TWC
efb50f078c9339f24732651d21b8bd66ffeee6cc9e0a0f984df044a0402f2a7e,1073.7457622539755,49575.70559072287,109466.94758405111
c903aabe3eb21fd7c7e9f03e1abd6f4e214df0533eafad38c3a27631d8732a90,978.0240250548868,51482.29093851609,107571.48898786952
5fab21bcf3cb0ab819de7cd9a08fc3ce774bbc754b31acd7d68ac553dd301ef7,941.2601991234591,51062.73960570013,108571.54931542132
d0d16ee420b8d89db4ef3346fd788a11eb5f34824181aece31e1c044447b58ef,963.2139622554581,51580.40293164751,106848.32391198903
caa0fd18fd696c1d3d51f38cd112794400a8e337e34c5bd8c4f778fdcc1bbdf7,767.3515525565494,54074.899681566574,97292.42724469485
6936ece653f05b9bdbd011484a8c4d539a97f45440a01438ce6b0d9369d0e2c9,733.9152569024151,57313.40756559808,99632.69906106015
edda39f4e9aec9cfa707ca9eb0b88a6470327350745963b6f5b4b4ddc58cc6c3,784.0774060330309,53306.9205051747,99318.52061876633
0cd0ccf35aa2da162f1d58102b914b11d74a2e999c4ea09918df3b569eb705ab,784.8203807783095,53440.77154070331,97064.67681726978
60202bdf2f71d755aa95f2cff0cc16c81fef7bd1c08face06857fff37cca7e6c,784.0764376804453,53429.15516489455,98771.92125620082
10e6165587b0b03c73d733624278c33947561abd8091aa8bd361d385a657a3b5,784.0774060330309,53570.81844572595,97351.48999935076
e0dba09076c1fad0f57f091007a59a9bf54605b1c59070d0c40044b2dfecf7a0,784.0774060330309,53384.20409564425,98485.34742158107
ecd583cb1b93c223c0f1d10513d3e50eba2924e7102c5b459c5f5624bf2c14e0,784.0774060330309,53368.05580153835,98614.56679383744
7bdd5423822e0684efa1b835e2bf1365538d29d4a67fc32d66af36cd58ab6e02,788.1245455715693,53198.181613514505,98097.23054646575
870556d2645f02d92ab038f406dfbac1959e2c1aeab55512574a506946f6af6e,795.7180433429925,53280.55674459543,97552.23569013558
7aeab143c3a70dad29e4597a0fc1037fb4e1c5783821fbcd5a569bae4f5d11d4,784.0774060330309,53575.458669556494,97050.65774906514
4cde988c2be354852764596f9d3cd0396eeefc5197c04b8e78b0e72233c02aa5,783.7091276500249,53616.92134166177,97017.25077366925
43fc74266a008c58e460d0529811af9458d0defc0340d612435cd31ed6dd6953,750.2468885834801,54476.50712681165,99855.41398910932
324a8fe9ee978fefe5d4804e07021e126231ef8490b0102cd8c6f3fc7eb59595,805.0100662437695,52980.12993242913,102209.27100824502
a136199a793fa711fa64cf8383b53e7864588ff4fef76c8a28d2e80705def6ad,805.6640502362403,52936.85021999606,103460.48788898358
eb6baa9a49cdad68bca3e7615f5709412f597a82277483e805a136f1308d0e99,750.8572958489102,55095.497989540556,94126.04622196178
049ab017126e33a96a8f858575abe1003c52bb416a0b1e935b5eed3b4398f080,766.3815734409392,53894.32947718412,97987.80323779193
bb8cb1ec1f4296a9370d97ccfe27126be8c07437ef8976ae95387c7963f2e49e,788.5312662067191,53302.03105460875,97226.04323161145
0d5fff73a330b2ddb3e4c263654a7aa26e44597594bd16ae30200a62d85bb618,799.3781644402482,53225.04880956212,97734.1111904211
22baf58084402c3aa2b5b8d8ae99aeba865f9d184a59594295667d4ee08b9f3e,784.0774060330309,53565.216960544974,97839.39038251844
020b00b84a043ffbf9044fdad1951fe7fa3d03e2fa88f02e123342ac43fe5842,774.5315927711107,54004.75492776804,95507.81628445575
b21c5861e67baeb450ea2b199bdd76633a8cfb6b6b83b4f638819a03f229664c,758.9139202300998,54627.01103880393,94450.75722637236
a10a5395b135181c1fad01418bcacac940e2bbd72cbe40b7b27bcfbe2309f4c4,752.5828587082684,54693.40015003207,95015.06304773946
