algorithm,sourceKind,implementationClass,actualSourceSha256,adaptationBoundary
MOPSODS_DE_F,PAPER_AUTHOR_SOURCE,org.uma.jmetal.algorithm.multiobjective.mypso.P25EAuthorMOPSODivSub,2129266B73772D6B2B70E83A0E7E0A7DE4DF012514D959770BE4EB2C54357EEB,Problem|Solution|initialPopulation|randomSource|FE|logging
MOHEADE_F,PAPER_AUTHOR_SOURCE,org.uma.jmetal.algorithm.multiobjective.mymohea.P25EAuthorMOHEADE,881BC08D67F9349B6EF40D52FB6B44549C694ADCDE9B03E38B8ACC50AFEE20E9,Problem|Solution|initialPopulation|randomSource|FE|logging
NSGA_II_F,OFFICIAL_JMETAL_CORE,org.uma.jmetal.algorithm.multiobjective.mypso.v35.p25e.official.OfficialJMetal58NSGAII,64D78C6CBE0B07A5E2EE4FBF42F8F5527D2C4DDA6186EC0491C73E7872242357,Problem|Solution|initialPopulation|randomSource|FE|logging
SPEA2_F,OFFICIAL_JMETAL_CORE,org.uma.jmetal.algorithm.multiobjective.mypso.v35.p25e.official.OfficialJMetal58SPEA2,06A9EA8291ADA04B145B6EF709714FB5A2EBF9D476A613D63526913DCA76BB7A,Problem|Solution|initialPopulation|randomSource|FE|logging
ZHANGBO_A4,ZHANGBO_CURRENT,org.uma.jmetal.algorithm.multiobjective.mypso.ZhangBoMOHPSOQ,70160A1BCF60BE8A55DCE968AF526451A582CD3905C59CE9A44D7A50344E8C57,Problem|Solution|initialPopulation|randomSource|FE|logging
HMOPSO_QGS_F,ZHANGBO_CURRENT,org.uma.jmetal.algorithm.multiobjective.mypso.ZhangBoMOHPSOQ,70160A1BCF60BE8A55DCE968AF526451A582CD3905C59CE9A44D7A50344E8C57,Problem|Solution|initialPopulation|randomSource|FE|logging
HMOPSO_QLS_F,PAPER_AUTHOR_SOURCE,org.uma.jmetal.algorithm.multiobjective.mypso.P25EAuthorMOPSODivSubDE,81ED09661942B972DCEB8324C0AEB13AC0D6762EAC0DDF0593E2ACD6B8925A7E,Problem|Solution|initialPopulation|randomSource|FE|logging
MOPSO_F,PAPER_AUTHOR_SOURCE,org.uma.jmetal.algorithm.multiobjective.mypso.P25EAuthorMOPSO,5EF71CFC010A44B5665E64543B4767CFB07CB162EBAF0D3680CF11A724BCC229,Problem|Solution|initialPopulation|randomSource|FE|logging
MOPSODS_DE_F,PAPER_AUTHOR_SOURCE,org.uma.jmetal.algorithm.multiobjective.mypso.P25EAuthorMOPSODivSub,2129266B73772D6B2B70E83A0E7E0A7DE4DF012514D959770BE4EB2C54357EEB,Problem|Solution|initialPopulation|randomSource|FE|logging
MOHEADE_F,PAPER_AUTHOR_SOURCE,org.uma.jmetal.algorithm.multiobjective.mymohea.P25EAuthorMOHEADE,881BC08D67F9349B6EF40D52FB6B44549C694ADCDE9B03E38B8ACC50AFEE20E9,Problem|Solution|initialPopulation|randomSource|FE|logging
NSGA_II_F,OFFICIAL_JMETAL_CORE,org.uma.jmetal.algorithm.multiobjective.mypso.v35.p25e.official.OfficialJMetal58NSGAII,64D78C6CBE0B07A5E2EE4FBF42F8F5527D2C4DDA6186EC0491C73E7872242357,Problem|Solution|initialPopulation|randomSource|FE|logging
SPEA2_F,OFFICIAL_JMETAL_CORE,org.uma.jmetal.algorithm.multiobjective.mypso.v35.p25e.official.OfficialJMetal58SPEA2,06A9EA8291ADA04B145B6EF709714FB5A2EBF9D476A613D63526913DCA76BB7A,Problem|Solution|initialPopulation|randomSource|FE|logging
ZHANGBO_A4,ZHANGBO_CURRENT,org.uma.jmetal.algorithm.multiobjective.mypso.ZhangBoMOHPSOQ,70160A1BCF60BE8A55DCE968AF526451A582CD3905C59CE9A44D7A50344E8C57,Problem|Solution|initialPopulation|randomSource|FE|logging
HMOPSO_QGS_F,ZHANGBO_CURRENT,org.uma.jmetal.algorithm.multiobjective.mypso.ZhangBoMOHPSOQ,70160A1BCF60BE8A55DCE968AF526451A582CD3905C59CE9A44D7A50344E8C57,Problem|Solution|initialPopulation|randomSource|FE|logging
HMOPSO_QLS_F,PAPER_AUTHOR_SOURCE,org.uma.jmetal.algorithm.multiobjective.mypso.P25EAuthorMOPSODivSubDE,81ED09661942B972DCEB8324C0AEB13AC0D6762EAC0DDF0593E2ACD6B8925A7E,Problem|Solution|initialPopulation|randomSource|FE|logging
MOPSO_F,PAPER_AUTHOR_SOURCE,org.uma.jmetal.algorithm.multiobjective.mypso.P25EAuthorMOPSO,5EF71CFC010A44B5665E64543B4767CFB07CB162EBAF0D3680CF11A724BCC229,Problem|Solution|initialPopulation|randomSource|FE|logging
MOPSODS_DE_F,PAPER_AUTHOR_SOURCE,org.uma.jmetal.algorithm.multiobjective.mypso.P25EAuthorMOPSODivSub,2129266B73772D6B2B70E83A0E7E0A7DE4DF012514D959770BE4EB2C54357EEB,Problem|Solution|initialPopulation|randomSource|FE|logging
MOHEADE_F,PAPER_AUTHOR_SOURCE,org.uma.jmetal.algorithm.multiobjective.mymohea.P25EAuthorMOHEADE,881BC08D67F9349B6EF40D52FB6B44549C694ADCDE9B03E38B8ACC50AFEE20E9,Problem|Solution|initialPopulation|randomSource|FE|logging
NSGA_II_F,OFFICIAL_JMETAL_CORE,org.uma.jmetal.algorithm.multiobjective.mypso.v35.p25e.official.OfficialJMetal58NSGAII,64D78C6CBE0B07A5E2EE4FBF42F8F5527D2C4DDA6186EC0491C73E7872242357,Problem|Solution|initialPopulation|randomSource|FE|logging
SPEA2_F,OFFICIAL_JMETAL_CORE,org.uma.jmetal.algorithm.multiobjective.mypso.v35.p25e.official.OfficialJMetal58SPEA2,06A9EA8291ADA04B145B6EF709714FB5A2EBF9D476A613D63526913DCA76BB7A,Problem|Solution|initialPopulation|randomSource|FE|logging
ZHANGBO_A4,ZHANGBO_CURRENT,org.uma.jmetal.algorithm.multiobjective.mypso.ZhangBoMOHPSOQ,70160A1BCF60BE8A55DCE968AF526451A582CD3905C59CE9A44D7A50344E8C57,Problem|Solution|initialPopulation|randomSource|FE|logging
HMOPSO_QGS_F,ZHANGBO_CURRENT,org.uma.jmetal.algorithm.multiobjective.mypso.ZhangBoMOHPSOQ,70160A1BCF60BE8A55DCE968AF526451A582CD3905C59CE9A44D7A50344E8C57,Problem|Solution|initialPopulation|randomSource|FE|logging
HMOPSO_QLS_F,PAPER_AUTHOR_SOURCE,org.uma.jmetal.algorithm.multiobjective.mypso.P25EAuthorMOPSODivSubDE,81ED09661942B972DCEB8324C0AEB13AC0D6762EAC0DDF0593E2ACD6B8925A7E,Problem|Solution|initialPopulation|randomSource|FE|logging
MOPSO_F,PAPER_AUTHOR_SOURCE,org.uma.jmetal.algorithm.multiobjective.mypso.P25EAuthorMOPSO,5EF71CFC010A44B5665E64543B4767CFB07CB162EBAF0D3680CF11A724BCC229,Problem|Solution|initialPopulation|randomSource|FE|logging
MOPSODS_DE_F,PAPER_AUTHOR_SOURCE,org.uma.jmetal.algorithm.multiobjective.mypso.P25EAuthorMOPSODivSub,2129266B73772D6B2B70E83A0E7E0A7DE4DF012514D959770BE4EB2C54357EEB,Problem|Solution|initialPopulation|randomSource|FE|logging
MOHEADE_F,PAPER_AUTHOR_SOURCE,org.uma.jmetal.algorithm.multiobjective.mymohea.P25EAuthorMOHEADE,881BC08D67F9349B6EF40D52FB6B44549C694ADCDE9B03E38B8ACC50AFEE20E9,Problem|Solution|initialPopulation|randomSource|FE|logging
NSGA_II_F,OFFICIAL_JMETAL_CORE,org.uma.jmetal.algorithm.multiobjective.mypso.v35.p25e.official.OfficialJMetal58NSGAII,64D78C6CBE0B07A5E2EE4FBF42F8F5527D2C4DDA6186EC0491C73E7872242357,Problem|Solution|initialPopulation|randomSource|FE|logging
SPEA2_F,OFFICIAL_JMETAL_CORE,org.uma.jmetal.algorithm.multiobjective.mypso.v35.p25e.official.OfficialJMetal58SPEA2,06A9EA8291ADA04B145B6EF709714FB5A2EBF9D476A613D63526913DCA76BB7A,Problem|Solution|initialPopulation|randomSource|FE|logging
