candidateId,parentId,lineageId,generated,admitted,evaluation,generation,cmax,tec,twc,subSwarm,mechanism,operator,enteredCandidateSet,pddrRetained,personalArchive,globalArchive,nextRoundSurvival,g1SocialTeacherParticleUses,g1SocialTeacherGenerations,g1PersonalTeacherParticleUses,g1PersonalTeacherGenerations,firstTeacherFE,lastTeacherFE,firstTeacherGeneration,lastTeacherGeneration,fingerprintSha256
1,INITIAL,-1,true,true,1,0,969.272502700406,131100.828942393420,404505.700923719200,UNASSIGNED,INITIAL,INITIAL,true,false,false,true,NOT_SELECTED,0,0,16,1,100,800,1,1,852137d6fc6da9f519d1e0b115d2c09e3fc10d75c2e3f966f5c6109f97eef0ab
2,INITIAL,-1,true,true,13,0,957.306562134511,133682.137057207320,425196.259100765800,UNASSIGNED,INITIAL,INITIAL,true,false,false,true,NOT_SELECTED,0,0,1,1,100,100,1,1,04b77d171ce62aa67da4fab0b5c8b33bab7e93840244cfa48527d93de530b9cb
3,INITIAL,-1,true,true,35,0,955.116204151285,133613.065653506500,413056.019751356400,UNASSIGNED,INITIAL,INITIAL,true,false,false,true,NOT_SELECTED,0,0,4,1,100,300,1,1,d6d825afc8f006a1b0c48a185118b0ed6a3ff58bf95462e4f2f65d8ba9cf4d40
4,INITIAL,-1,true,true,45,0,924.344188119191,132201.379724576550,397460.283601745400,UNASSIGNED,INITIAL,INITIAL,true,false,false,true,NOT_SELECTED,0,0,2,1,100,200,1,1,6f597022813191caee9dab0efddd5703bf2d6c9638fa681b3b086da07993173d
5,GLOBAL_SLOT_G4_BALANCED,28,true,true,129,1,908.523015576164,131831.846218665900,417413.076731480900,G4_BALANCED,CFVF,CFVF,true,false,false,true,NOT_SELECTED,20,1,0,0,200,200,1,1,454b1e4b1d085370c7302f65e2a6ae37007f7105291576411fc0b81aed2f83ab
6,GLOBAL_SLOT_G1_CMAX,97,true,true,206,1,863.558131742755,132952.891714033800,389322.004236344000,G1_CMAX,CFVF,CFVF,true,false,false,true,NOT_SELECTED,0,0,0,0,,,,,894020a66ea7eb9adc3c79519e7841c451a9c3293915a87e1f9d06bb36120894
7,GLOBAL_SLOT_G3_TWC,16,true,true,695,1,861.530309833114,129795.284115447050,381748.859512410000,G3_TWC,CFVF,CFVF,true,false,false,true,NOT_SELECTED,520,1,0,0,700,3800,1,1,49ec45fafe4b6447003add28838da1baa957e7aad701211059b5152851d440af
8,GLOBAL_SLOT_G4_BALANCED,31,true,true,3857,1,855.337724991541,128787.487225927620,381669.958271518930,G4_BALANCED,CFVF,CFVF,true,false,false,true,NOT_SELECTED,260,2,0,0,3900,6785,1,2,4035b4d77d59bc0eafb9a2be11c59f929daa3fb63b92be3368c7920756459482
9,GLOBAL_SLOT_G1_CMAX,31,true,true,3908,1,851.587021543722,128980.326704159190,380663.551783303030,G1_CMAX,CFVF,CFVF,true,false,false,true,NOT_SELECTED,0,0,0,0,,,,,6970ca66e85b235d62de4fa98577dbfe3f5430b5f4a3cedb699dfcb6f06de4b9
10,GLOBAL_SLOT_G4_BALANCED,31,true,true,3925,1,847.319443909367,129179.422607223530,366793.564962115700,G4_BALANCED,CFVF,CFVF,true,false,false,true,NOT_SELECTED,0,0,0,0,,,,,ab94087fe7f5e310b00c0cabd7c0a2ddb04a128c5e86ea0e2a4674edfb761166
11,GLOBAL_SLOT_G4_BALANCED,31,true,true,4057,1,846.442648888755,131959.668967102220,375251.568149504700,G4_BALANCED,CFVF,CFVF,true,false,false,true,NOT_SELECTED,0,0,0,0,,,,,ca67674ab429d20d0329be3903207233e3c90a2c3f3cbf782d8df751914cfd36
12,GLOBAL_SLOT_G1_CMAX,31,true,true,4213,1,841.375596630709,129902.464181145670,369002.963485764000,G1_CMAX,CFVF,CFVF,true,false,false,true,NOT_SELECTED,0,0,0,0,,,,,59347257d90fd54c946de54519d81106227fd54daa1bb452d4968b5a6207b2af
