fe,bestCmaxGlobal,bestCmaxG1,currentBestCmaxG1,bestCmaxGenerated,bestCmaxGeneratedG1,bestCmaxSurvived,windowBestGenerated,windowBestSurvived,bestTECGlobal,bestTWCGlobal,bestTECGenerated,bestTWCGenerated
1000,867.323964627525,867.323964627525,893.518918937356,858.559433995184,864.128149132074,,858.559433995184,,124692.146197517660,371501.233775628500,124682.445170863270,364442.006125273300
2000,833.704908469443,833.704908469443,868.481221293354,833.704908469443,864.128149132074,,833.704908469443,,123425.662502491820,354289.992623090160,123425.662502491820,354289.992623090160
3000,833.704908469443,833.704908469443,842.845283372036,833.704908469443,847.512425540191,,839.489021059075,,123425.662502491820,351267.085299103900,123425.662502491820,351267.085299103900
4000,833.704908469443,833.704908469443,856.750272600050,833.704908469443,837.912558503396,,834.520171509783,,123425.662502491820,347235.758651082350,123425.662502491820,347235.758651082350
5000,813.444957612026,813.444957612026,835.078639484350,813.444957612026,831.785107583824,,813.444957612026,,123425.662502491820,347235.758651082350,123425.662502491820,336688.395635640000
6000,813.444957612026,813.444957612026,857.860606731143,813.444957612026,818.007464428147,,818.007464428147,,123425.662502491820,336688.395635640000,123425.662502491820,336688.395635640000
7000,785.914031831158,785.914031831158,829.981296531117,785.914031831158,785.914031831158,785.914031831158,785.914031831158,785.914031831158,123425.662502491820,336688.395635640000,123425.662502491820,336688.395635640000
8000,785.914031831158,785.914031831158,838.194029353293,785.914031831158,785.914031831158,785.914031831158,808.270855129065,,122362.543480628740,329479.196022407600,122362.543480628740,329479.196022407600
9000,785.914031831158,785.914031831158,817.510173940693,785.914031831158,785.914031831158,785.914031831158,809.328679732279,,122240.725231329680,329479.196022407600,122240.725231329680,329479.196022407600
10000,785.914031831158,785.914031831158,842.021992640634,785.914031831158,785.914031831158,785.914031831158,813.804080560270,,122240.725231329680,327681.164774609500,122240.725231329680,327681.164774609500
11000,785.914031831158,785.914031831158,846.068060602268,785.914031831158,785.914031831158,785.914031831158,812.650500954174,,122240.725231329680,325712.929868708830,122240.725231329680,325712.929868708830
12000,785.914031831158,785.914031831158,831.047060907270,785.914031831158,785.914031831158,785.914031831158,816.479709304805,,122181.145918958150,324861.209786593300,122181.145918958150,324861.209786593300
13000,785.914031831158,785.914031831158,831.047060907270,785.914031831158,785.914031831158,785.914031831158,795.931997753982,,122181.145918958150,324861.209786593300,122181.145918958150,324861.209786593300
14000,785.914031831158,785.914031831158,805.819084729397,785.914031831158,785.914031831158,785.914031831158,803.542778291061,785.914031831158,122181.145918958150,324861.209786593300,121535.370683631200,324861.209786593300
15000,785.914031831158,785.914031831158,831.756058866702,785.914031831158,785.914031831158,785.914031831158,805.461205107818,,121425.049775241950,322620.363745058500,121403.922480907420,322620.363745058500
16000,785.914031831158,785.914031831158,804.538884107868,785.914031831158,785.914031831158,785.914031831158,804.538884107868,,120908.706086841300,322620.363745058500,120908.706086841300,322620.363745058500
