candidateId,parentId,lineageId,generated,admitted,evaluation,generation,cmax,tec,twc,subSwarm,mechanism,operator,enteredCandidateSet,pddrRetained,personalArchive,globalArchive,nextRoundSurvival,g1SocialTeacherParticleUses,g1SocialTeacherGenerations,g1PersonalTeacherParticleUses,g1PersonalTeacherGenerations,firstTeacherFE,lastTeacherFE,firstTeacherGeneration,lastTeacherGeneration,fingerprintSha256
1,INITIAL,-1,true,true,1,0,2039.581718329668,73608.431377739250,186886.383214294620,UNASSIGNED,INITIAL,INITIAL,true,false,false,true,NOT_SELECTED,0,0,0,0,,,,,1fa039ba47156a62509a6003ac9779190d391d662e537240654e3d95551de27f
2,INITIAL,-1,true,true,2,0,1539.425676898136,70424.188089635020,168866.372360688000,UNASSIGNED,INITIAL,INITIAL,true,false,false,true,NOT_SELECTED,0,0,0,0,,,,,d1fe1acedaa4b8877e1d22aa4b5b132227dd5899056563a04ee5efc4a497b3c7
3,INITIAL,-1,true,true,3,0,1538.181235194380,68275.259814908890,200129.560301720980,UNASSIGNED,INITIAL,INITIAL,true,false,false,true,NOT_SELECTED,0,0,0,0,,,,,b62b97d32df3515c68d4187d907c2747add663f270c8701f002cb06ec925c0a9
4,INITIAL,-1,true,true,4,0,1471.066966219271,68112.010703895760,162108.193366864520,UNASSIGNED,INITIAL,INITIAL,true,false,false,true,NOT_SELECTED,0,0,0,0,,,,,281320e0b32678dbddb4f926fbab95515fd369b38baa258889a5af9b7a492df5
5,INITIAL,-1,true,true,5,0,1335.936474862121,65348.385341818870,162364.832471898440,UNASSIGNED,INITIAL,INITIAL,true,false,false,true,NOT_SELECTED,0,0,1,1,100,100,1,1,01453433ca8b8c8eb1026158831fa4d50f3bc9bcada8b3477e74e909aafe465e
6,INITIAL,-1,true,true,19,0,1169.428904970311,64909.295860585575,163188.937240154050,UNASSIGNED,INITIAL,INITIAL,true,false,false,true,NOT_SELECTED,0,0,103,1,100,3700,1,1,b9f2bcabab4a0451c50c690ee63b3fd9901dc59ea92a7884c90d00e5e4a4b6b8
7,INITIAL,-1,true,true,46,0,1163.989734883033,63913.746071963920,147076.997131107900,UNASSIGNED,INITIAL,INITIAL,true,false,true,true,NOT_SELECTED,0,0,812,2,100,32409,1,2,11881be48af5983d3624b01a2a76a8baefc88e3916c84fb6cb05adabcb581ab1
8,GLOBAL_SLOT_G1_CMAX,0,true,true,101,1,1132.249249946266,66887.056885990110,160572.801323258930,G1_CMAX,CFVF,CFVF,true,false,false,true,NOT_SELECTED,0,0,0,0,,,,,2c1a946d75578b938b8701269ff293bade718417c61f4917ca25156e95d3c661
9,GLOBAL_SLOT_G3_TWC,86,true,true,187,1,1113.280156322402,68187.713033495860,153554.318786722300,G3_TWC,CFVF,CFVF,true,false,false,true,NOT_SELECTED,20,1,0,0,200,200,1,1,c8fc524cd37ab3ee4ee055891a2ba94b82697d6c09be7a88a0787dd5032f5167
10,GLOBAL_SLOT_G1_CMAX,6,true,true,216,1,1077.849774349745,65519.713729463180,157518.505906048870,G1_CMAX,CFVF,CFVF,true,false,false,false,NOT_SELECTED,0,0,0,0,,,,,baec337d7461acf5a04d73210b9ba24e088610580fe38374ee11494c0985cc16
11,GLOBAL_SLOT_G4_BALANCED,60,true,true,221,1,1063.741309355274,63447.359848415300,143710.626380105560,G4_BALANCED,CFVF,CFVF,true,false,false,true,NOT_SELECTED,20,1,0,0,300,300,1,1,5942b6baddecc6ccdb4b66f33506c283dde3d46d382efd1b52f3db5975a0e84c
12,GLOBAL_SLOT_G1_CMAX,60,true,true,320,1,1000.029395696242,65449.627179055940,143262.299473636840,G1_CMAX,CFVF,CFVF,true,false,false,true,NOT_SELECTED,20,1,0,0,400,400,1,1,5a99bee1d88d0427856375675e6b82de5ea357df4efaec007cfdf8919029dcf2
13,GLOBAL_SLOT_G1_CMAX,60,true,true,401,1,990.021433145730,65274.328223746850,143160.651047759980,G1_CMAX,CFVF,CFVF,true,false,false,false,NOT_SELECTED,0,0,0,0,,,,,250a232492327a43507a023b3ba145c55b1c2f4853afdc15118cf79bc84fc1e3
14,GLOBAL_SLOT_G4_BALANCED,61,true,true,437,1,980.458198517373,63221.429450372300,141305.468403325040,G4_BALANCED,CFVF,CFVF,true,false,false,true,NOT_SELECTED,40,1,0,0,700,800,1,1,6f4452a8da7c66ea66be7497004780e98d1a60fd8665bb3de3550c68dbc65b02
15,GLOBAL_SLOT_G1_CMAX,61,true,true,803,1,980.112494055697,63744.061255070270,143136.897936219170,G1_CMAX,CFVF,CFVF,true,false,false,false,NOT_SELECTED,0,0,0,0,,,,,7e3d583aec0c6e2bc355f9965951dc05689391706cfd79aa97c38a3563f3ced8
16,GLOBAL_SLOT_G1_CMAX,61,true,true,810,1,964.665737590724,61586.881345326050,141079.725241322450,G1_CMAX,CFVF,CFVF,true,false,false,true,NOT_SELECTED,0,0,0,0,,,,,5eead6fad1f95d40758ccdd4246f97aeaaf6cc264c6f5cc2b0720145bb7d3d4f
17,GLOBAL_SLOT_G4_BALANCED,60,true,true,832,1,910.538687675222,61882.274597172930,133068.242350421180,G4_BALANCED,CFVF,CFVF,true,false,false,true,NOT_SELECTED,260,1,0,0,900,2200,1,1,96986e7ec36f7160336a6bd05dbd26d33fc125a1c38ece3e552c22e1994d8172
18,GLOBAL_SLOT_G1_CMAX,60,true,true,1201,1,906.304955123945,59557.087503852820,134101.414407645300,G1_CMAX,CFVF,CFVF,true,false,false,true,NOT_SELECTED,0,0,0,0,,,,,238cb15545ab5e41889ce411aa41408df8bb109ce70eb30fbf3be5bcd72a5894
19,GLOBAL_SLOT_G1_CMAX,60,true,true,2208,1,890.730766659574,60824.771023035430,128275.179918164770,G1_CMAX,CFVF,CFVF,true,false,false,true,NOT_SELECTED,200,1,0,0,2400,3900,1,1,00ccf8d832bc3dcb17b5f569346e03ae0395e94cfd93ed215b4032b9d58bed09
